0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	2	78	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	35	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0
0	0	0	0	0	40	0	0	7	0	0	0	10	3	3	0	2	0	0	0	2	0	0	0	2	4	0	0	129	0	0	0	0	2	0
0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0	17	0	2	0	0	193	0	21	0	0	0	0	0	4	0	0	0	4	2	0	9	22	0	198	8	0	0	0	0	0	120	0	0	0
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
0	0	0	0	3	0	0	0	0	1154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	516
0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	2	0	0	709	10	0	0	0	0	7	7	7	0	0	0	0	4	0	0	0
8	2	24	0	0	0	0	0	64	0	0	21	0	0	200	0	0	0	0	0	0	2	0	0	5	0	0	0	3	0	39	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	77	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1879	0	0	0	0	0	0	0	18	0	0	0	0	1367	0	13	1184	0	0	0	0	0	2	0	0
