9	0	4	5	0	0	0	3	21	0	0	0	0	0	0	0
11	4	34	13	0	0	0	49	0	10	0	0	0	3	8	0
75	5	48	25	0	2	0	153	0	12	0	2	0	3	6	0
0	0	0	6	2	0	0	3	0	0	49	0	0	3	0	0
0	0	3	0	0	0	0	7	0	32	0	0	0	0	0	0
16	6	112	2	0	15	0	13	0	78	0	0	0	0	0	0
0	0	0	0	150	0	162	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	43
0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	51	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
0	0	17	0	0	16	0	0	0	12	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
