0	0	0	3	3	0	0	74	13	0	4	0	11	0	3	0	2	15	0	0
0	2	4	0	8	3	0	321	45	2	5	3	19	28	40	4	4	30	3	3
0	0	2	0	2	3	0	0	0	0	0	0	0	0	2	0	0	0	0	2
0	13	10	0	4	4	0	0	0	0	0	0	0	0	16	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	84	0	0	0
3	0	105	0	262	9	0	2	36	0	0	13	0	0	118	0	0	0	0	0
0	0	3	0	4	0	0	27	34	0	3	2	4	0	27	0	0	0	0	0
0	0	0	0	5	0	2	2	7	0	0	0	0	0	8	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	5	0	6	249	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	3	0	0
0	0	0	0	0	0	0	11	3	2	0	0	2	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
