0	0	0	9	29	10	80	10	3	0	6	301	25	5	0	25	0	0	0	509	55	15	0	2	0	0	15	0	7	0	0	0	10	0	0	0	76	103	0	12	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	401	0	0	0	7	2	9	2	0	0	0	14	313	0	44	0	0	0	0	0	0	63	0	0	0	0	0	2	0	0	0	41	0	23	0	828	186	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	2	0	0	0	0	7	0	0	8	5	0	0	0	2	0	0	0	0	0	0
0	0	3	62	0	0	7	0	0	0	0	0	16	3	0	2	0	15	0	0	0	13	88	5	8	0	0	0	0	0	0	0	3	2	0	2	11	10	0	2	0	4
0	0	0	0	3	10	25	24	5	359	2	0	0	0	13	119	0	0	0	0	0	0	0	0	0	74	3	0	0	17	0	0	4	36	17	0	744	65	134	0	0	0
0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0
0	0	0	0	117	3398	4489	643	175	0	1461	19	15160	0	68	7293	0	0	0	19	0	19	0	0	0	0	0	0	29	682	0	0	5053	29	2347	0	48042	2522	3359	1967	0	0
0	5	0	0	25	1766	943	657	135	15	261	5	998	70	647	13628	0	0	0	5	0	0	0	5	0	0	5	0	25	2964	0	0	1023	191	898	0	2503	727	3235	1294	0	0
0	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	3	117	0	0	0	0	0	0	0	0	10	0	2	0	20	15	12	0	0	0
0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	4	0	0	13	0	0	19	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
0	0	0	0	214	7061	11911	17760	2354	0	5492	0	13266	2853	12767	6276	0	0	0	0	0	0	0	0	0	0	0	0	6348	24107	0	0	5563	642	7346	0	25605	278590	252842	30669	0	0
0	0	0	0	35941	9	0	0	4	4	21	4	170	0	43	60	0	0	0	0	0	4768	0	0	0	0	0	0	0	26	0	0	17	55	4	0	979	51	255	119	0	0
0	0	0	0	140	300	871	449	1528	2	180	0	66	100	172	214	0	0	0	2	0	26	0	2	0	0	0	0	0	180	0	0	505	13234	224	0	565	280	899	16	0	0
