0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	2	0	0	0
0	2	0	0	10	6	17	0	0	5	0	0	0	18	0	0	0	0	0
0	0	0	0	7	19	13	0	5	0	0	0	0	9	0	0	0	0	2
0	0	0	0	2	49	11	0	5	0	0	46	0	7	0	0	0	0	0
11	0	0	2	0	2	0	0	2	0	2	0	0	6	0	0	0	0	8
0	0	0	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0
0	0	0	8	14	2	72	0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	48	0	24	0	0	0	0	0	0	0	0	0	4	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	23	57	63	0	23	0	0	5	0	62	0	0	0	0	6
6	0	0	0	0	32	4	0	6	0	0	2	0	3	0	0	0	0	0
0	0	0	0	0	18	2	2	2	0	0	36	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	44	0	0	0	0	0	0	0	0
0	0	0	0	0	17	2	13	0	0	0	6	0	0	0	0	0	7	0
0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0
0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	27	0	0	0
0	0	0	0	10	0	9	0	0	0	0	0	0	0	2	0	0	0	0
