0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	7	0	22	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	2	3	6	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2	0	0	0	0	6	0	26	82	107	0	6	0	5	0	449	0	40	0	0	0	0	0	6	0	0
132	0	0	0	0	0	20	0	46	0	0	8	0	10	0	4	0	3	9	0	0	0	0	0	11	0
0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	2	0	2	16	0	0	0	0	0	0	0
0	0	0	5	0	0	0	19	7	94	0	0	0	0	0	18	0	38	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	6	0	0	106	4	159	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	31	0	0	0	0
0	0	0	0	0	2	0	0	0	20	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	16	27	30	0	3	0	0	0	7	0	12	0	0	0	0	0	0	0	0
0	0	0	4	0	8	2	0	12	18	0	2	0	0	0	31	0	6	0	0	0	0	0	0	2	25
2	0	4	2	0	0	0	6	5	25	0	0	0	4	30	2	0	4	0	2	0	0	0	0	0	0
0	0	0	0	0	0	0	0	15	2	0	2	0	0	0	11	0	2	0	0	0	0	5	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	6	3	4	2	0	0	0	2	0	2	0	0	0	0	11	0	0	0
0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	16	0	41	0	0	2	0	0	0	2	0	3	0	5	0	0	0	0	0
