0	0	0	0	1065	324	0	0	8	2	0	63	398	0	0	0	24	9	0	2	0	0
0	0	0	0	2266	305	0	0	127	17	0	48	703	13	0	0	12	5	0	14	0	3
0	0	0	0	41	6	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
0	0	0	0	261	119	0	0	0	0	0	2	82	0	0	0	0	0	0	0	0	0
0	0	0	0	45	11	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
0	592	4	27	1368	150	0	0	0	0	0	0	574	3	0	0	0	153	15	69	7	27
0	0	0	0	5	3	3	5	13	61	0	7	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	19	2	0	188	621	0	0	0	0	0	4	142	0	0	0	3	17	0	0	0	0
13	18	0	0	132	48	0	0	0	0	0	0	26	0	0	0	65	4	0	0	0	6
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0
0	0	0	0	9	4	0	0	0	0	75	0	4	0	2	5	15	0	0	0	0	0
0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
0	0	0	0	43	17	4	0	0	0	77	0	4	0	2	66	170	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0
0	0	0	0	12	8	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
