"ID"	"Interaction"	"Reference"	"File"	"rows"	"cols"	"connectance"	"nint"
"59"	"TP-086"	"pollin"	"Ingversen 2006"	"Dom.FOR.txt"	44	31	0.110703812316716	151
"60"	"TP-087"	"pollin"	"Bundgaard 2003"	"mikkel.FOR.txt"	44	16	0.394886363636364	278
"61"	"TP-088"	"pollin"	"Witt 1998"	"witt.FOR.txt"	39	15	0.157264957264957	92
"62"	"TP-089"	"pollin"	"Dupont 2003"	"poll6.TF.txt"	38	11	0.253588516746411	106
"63"	"TP-090"	"pollin"	"Stald 2003"	"Staldslope.FOR.txt"	35	14	0.175510204081633	86
"64"	"TP-091"	"pollin"	"Lundgren 2005"	"lundgren.FOR.txt"	26	17	0.14027149321267	62
"65"	"TP-093"	"disp"	"Jordano unpub"	"turcsab.FOR.txt"	12	4	0.645833333333333	31
"66"	"TP-094"	"disp"	"Jordano unpub"	"turnch.FOR.txt"	21	6	0.46031746031746	58
"67"	"TP-095"	"pollin"	"Montero 2005"	"forest.FOR.txt"	105	39	0.0932844932844933	382
"68"	"TP-096"	"paras"	"Alania 1964"	"Adzharia.FOR.txt"	20	15	0.246666666666667	74
"69"	"TP-097"	"paras"	"Arthur 1976"	"Aishihik_Lake.FOR.txt"	29	7	0.38423645320197	78
"70"	"TP-098"	"paras"	"Mikulin 1959"	"Akmolinsk.FOR.txt"	26	19	0.216599190283401	107
"71"	"TP-099"	"paras"	"Vershinina 1967"	"Barguzin.FOR.txt"	17	28	0.197478991596639	94
"72"	"TP-100"	"paras"	"deMoraes 2003"	"Brazil.FOR.txt"	10	16	0.2375	38
"73"	"TP-101"	"paras"	"Linsdale 1956"	"CaliforniaCentral.FOR.txt"	22	19	0.229665071770335	96
"74"	"TP-102"	"paras"	"Davis 2002"	"CaliforniaSouthWest.FOR.txt"	17	9	0.26797385620915	41
"75"	"TP-103"	"paras"	"Elshanskaya 1972"	"CentYakutia.FOR.txt"	18	8	0.298611111111111	43
"76"	"TP-104"	"paras"	"Leong 1981"	"Cold_Lake2.FOR.txt"	40	10	0.2275	91
"77"	"TP-105"	"paras"	"Burdelova 1996"	"DzhungAlatau.FOR.txt"	22	15	0.303030303030303	100
"78"	"TP-106"	"paras"	"Mikulin 1959"	"EastBalkhash.FOR.txt"	37	22	0.13022113022113	106
"79"	"TP-107"	"paras"	"Morozkina 1971"	"Gissar.FOR.txt"	25	8	0.34	68
"80"	"TP-108"	"paras"	"Allred 1968"	"Idaho.FOR.txt"	29	14	0.155172413793103	63
"81"	"TP-109"	"paras"	"Syrvacheva 1964"	"Kabarda.FOR.txt"	21	13	0.293040293040293	80
"82"	"TP-110"	"paras"	"Koshkin 1966"	"Khabarovsk.FOR.txt"	22	9	0.303030303030303	60
"83"	"TP-111"	"paras"	"Leonov 1958"	"Khasan.FOR.txt"	12	8	0.40625	39
"84"	"TP-112"	"paras"	"Reshetnikova 1959"	"Kustanai.FOR.txt"	19	17	0.226006191950464	73
"85"	"TP-113"	"paras"	"Arai 1983"	"McGregor_River.FOR.txt"	51	14	0.159663865546218	114
"86"	"TP-114"	"paras"	"Vasiliev 1966"	"MongoliaCKhangay.FOR.txt"	21	9	0.232804232804233	44
"87"	"TP-115"	"paras"	"Labunets 1967"	"MongoliaNorthWestKhangay.FOR.txt"	44	21	0.1504329004329	139
"88"	"TP-116"	"paras"	"Popova 1968"	"Moyynkum.FOR.txt"	31	18	0.200716845878136	112
