"topology"	"topology_equi"	"topology_prop"	"rows"	"cols"	"nint"	"connectance"	"interaction_type"	"NODF"	"equi_null_mean"	"equi_null_sd"	"equi_z"	"prop_null_mean"	"prop_null_sd"	"prop_z"	"equi_ci_up"	"equi_ci_down"	"prop_ci_up"	"prop_ci_down"	"modularity"	"nmod"	"equi_null_mean"	"equi_null_sd"	"equi_z"	"equi_null_ci_up"	"equi_null_ci_down"	"prop_null_mean"	"prop_null_sd"	"prop_z"	"prop_null_ci_up"	"prop_null_ci_down"	"NODF_SM"	"equi_null_SM_mean"	"equi_null_SM_sd"	"equi_SM_z"	"equi_SM_ci_up"	"equi_SM_ci_down"	"prop_null_SM_mean"	"prop_null_SM_sd"	"prop_SM_z"	"prop_SM_ci_up"	"prop_SM_ci_down"	"NODF_DM"	"equi_null_DM_mean"	"equi_null_DM_sd"	"equi_DM_z"	"equi_DM_ci_up"	"equi_DM_ci_down"	"prop_null_DM_mean"	"prop_null_DM_sd"	"prop_DM_z"	"prop_DM_ci_up"	"prop_DM_ci_down"	"nodf_equi_sig"	"mod_equi_sig"	"nodf_equi_SM_sig"	"nodf_equi_DM_sig"	"nodf_prop_sig"	"mod_prop_sig"	"nodf_prop_SM_sig"	"nodf_prop_DM_sig"	"mean_equi_nullconnec"	"mean_equi_nullconnec_P"	"sd_equi_nullconnec"	"mean_prop_nullconnec"	"mean_prop_nullconnec_P"	"sd_prop_nullconnec"
"TP-012"	"nested"	"nested"	"nested"	71	7	142	0.285714285714286	"disp"	51.6126190759199	27.4290304698536	1.49597312106868	16.1657908591234	45.4134217303167	3.39389783496434	1.82657158437074	29.7811533477094	24.1794879423886	51.4985198458917	39.0690332816304	0.331333068835548	7	0.39308527219656	0.00732002768397356	-8.43606145045207	0.406784368180917	0.381789327514382	0.344746412748793	0.00851427785913796	-1.5753941949227	0.361396548303908	0.327960722078953	52.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.3665121656308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	0.285714285714286	1	0	0.285714285714286	1	0
"TP-013"	"pure modular"	"nested"	"pure modular"	50	14	234	0.334285714285714	"disp"	48.9213564213564	33.9795034798109	1.35155048400127	11.0553420818659	43.6766449816728	1.90463348408067	2.75365915989615	36.6897308135703	31.4378797261889	47.6156554030122	40.3269186739153	0.27339469647162	5	0.253828412802772	0.00876308214031099	2.23280842922162	0.274990868580612	0.239429468916649	0.235558094959804	0.00787985940086728	4.80168485083007	0.254372123602893	0.224190956242238	60.8189915876086	56.1941636639109	3.15853398842874	1.46423243841627	62.711234792649	50.6127131899354	62.2437658986808	3.34204374857868	-0.426318270572662	68.6127488442502	54.0862826230806	45.6765468305604	42.6289942907407	0.723208405887545	4.21393406798094	44.1829405975176	41.4560060047918	44.1701409992402	0.87893810463797	1.71389296171275	46.1184856742573	42.6968980883434	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	0.334285714285714	1	0	0.334285714285714	1	0
"TP-014"	"nested"	"nested"	"nested"	25	33	154	0.186666666666667	"disp"	57.2088422179002	19.2322519868241	1.056556228828	35.943747426677	36.3013687478128	2.90183091017349	7.20492479309809	21.4589903521063	17.398445287938	42.0246652343334	30.8060757680323	0.315230224321133	7	0.361497562425206	0.0117020724378194	-3.95377300473234	0.386751560128183	0.338969472086355	0.31774972090371	0.0101378147638779	-0.248524622047123	0.334542081295328	0.302774498229044	68.0498124098124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.2812159391107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	0.186666666666667	1	0	0.186666666666667	1	0
"TP-015"	"compound"	"nested"	"compound"	16	17	121	0.444852941176471	"disp"	78.755788482351	44.8044676677489	2.78197238858436	12.2040466519075	57.7543710216701	3.64990501682872	5.75396273707098	49.7642299107143	40.2218191964286	64.4679122960373	50.7934084145022	0.234341916535756	4	0.224877301511411	0.0089099776197889	1.0622490233111	0.241663820777269	0.211078478246021	0.208207870266473	0.00969979119431996	2.69428957239683	0.225899870227443	0.192773717642238	81.3297720797721	61.1769249269249	5.95294916084429	3.38535515898626	71.5493561993562	49.2838300588301	66.6359604240557	6.84529671785215	2.14655584138461	78.2258852258852	50.2697496947497	77.9678343198751	69.774389914696	1.0790966111733	7.59287381717411	71.9940071266602	68.1413589245222	71.175625475917	1.43375598170834	4.73735344829397	74.0060075978443	68.6560576611597	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.444852941176471	1	0	0.444852941176471	1	0
"TP-016"	"nested"	"nested"	"nested"	14	10	65	0.464285714285714	"disp"	78.6414565826331	45.7297252234227	4.24351089648392	7.75577868469249	59.8825214429206	5.16187360938375	3.63413298334362	54.0044351073763	36.5374649859944	69.3574134199134	50.4987745098039	0.21491124260355	4	0.242745562130177	0.0128620472591989	-2.16406602819159	0.267597633136095	0.220260355029586	0.223371090448014	0.0129799188971858	-0.651764306963225	0.246201183431953	0.201278106508876	87.051282051282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.6536796536796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	0.464285714285714	1	0	0.464285714285714	1	0
"TP-017"	"compound"	"nested"	"compound"	98	87	372	0.043631245601689	"pollin"	15.1138814823475	4.46764970017518	0.218805257401063	48.6561973355973	10.8083916264505	0.754435519800267	5.70690236991595	4.87757744962831	4.09046722055905	12.3870995772927	9.40262554225971	0.470748063359927	6	0.486476691497502	0.00739136161994363	-2.12797437689092	0.500316510579257	0.474369869349057	0.44083640277709	0.00739769623962746	4.04337507433845	0.45952566770725	0.428734535784484	33.3028792361676	13.2979761400054	0.665127624595081	30.0767888092768	14.3860938028728	11.8687213879262	27.0543727093268	1.54275756927119	4.0502193288818	29.9264526059357	24.1307913784329	11.2633147681293	3.94355535323541	0.16445354042466	44.5095885196053	4.24339492335213	3.66602925525893	8.41784063597507	0.539144217759302	5.27776064070594	9.2321688019965	7.17707680467183	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.043631245601689	1	0	0.043631245601689	1	0
"TP-018"	"compound"	"nested"	"compound"	62	43	199	0.0746436609152288	"pollin"	17.9862257761327	7.48734222075054	0.436613914967762	24.0461496884664	13.999786204061	1.04071758622852	3.83047199818952	8.24046994125734	6.68872072809081	16.2215315504507	11.999180907377	0.488144238781848	9	0.485718374115132	0.00948869918142322	0.25565829628847	0.5071488093735	0.465665008459382	0.45019041125705	0.0112644819998432	3.36933624869091	0.47362945380167	0.431307290219944	50.0865800865801	28.7035627208041	1.92709351653594	11.0959936205966	31.7804149873115	25.0361994327512	42.7467091963285	2.86632038251111	2.56072940590865	47.8583370652336	37.0571478330099	13.8488467761195	7.64395614219568	0.344853954699246	17.9928069531209	8.3600128266795	7.09023569023569	11.8115469309697	0.764528753910413	2.66477857729926	13.0507211663361	10.4860348854288	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0746436609152288	1	0	0.0746436609152288	1	0
"TP-019"	"compound"	"nested"	"pure modular"	28	41	91	0.0792682926829268	"pollin"	20.4815023596326	7.28733262921195	0.767604924743788	17.1887507558977	15.0638185405059	1.95005042713375	2.77822754926897	8.95846251689323	5.85948803561491	19.0603998116519	11.5867318546784	0.58422895785533	5	0.593138624849771	0.0169291455178852	-0.526291594872767	0.631904359376886	0.563603429537495	0.55217048780628	0.0161595707511334	1.98386891228538	0.582176065692548	0.525202270257215	33.8142857142857	24.444261526833	1.80530602118216	5.19026917182553	27.5442857142857	20.28	31.610022675737	3.0828218821297	0.715014724440059	37.2373333333333	25.7638095238095	16.965472993954	9.77635376701079	0.60502237468416	11.8824022511501	10.7846845489251	8.58418726140245	14.8869535237829	1.13588823801871	1.82986265778802	16.5445983341553	12.4539929128537	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.0792682926829268	1	0	0.0792682926829268	1	0
"TP-020"	"compound"	"nested"	"pure modular"	118	23	238	0.0876934414148858	"pollin"	15.2785044117857	8.66376346385835	0.36305709603403	18.2195611108709	13.9722427226002	1.04715688035441	1.24743647651282	9.42299376606252	8.06114276537697	16.3690949734698	12.0158604847147	0.501023938987358	10	0.507414730598121	0.00788661534698404	-0.8103338795655	0.52172869147659	0.493605677565143	0.48596430168706	0.00653011341249426	2.30618311643469	0.499247934467904	0.474807570086857	41.3612736033644	33.369558481663	1.43206435704723	5.58055584748959	35.6318493519319	30.0639301093221	41.2554556060156	1.88719335337594	0.0560716246480292	45.2630913332426	38.2370730293701	12.3290296564151	8.70890847362345	0.25419796272407	14.2413461697222	9.24676185556724	8.26177530341566	11.5701598786282	0.546067454334808	1.38969970058238	12.4998702029033	10.5772107257366	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0.0876934414148858	1	0	0.0876934414148858	1	0
"TP-021"	"nested"	"nested"	"nested"	76	31	456	0.193548387096774	"pollin"	35.1698727203785	20.3820032791686	0.584735333959775	25.2898509502885	31.4630860347487	1.16744119542497	3.17513781435517	21.5362921539438	19.3079378988006	33.8905774960169	29.4368450958968	0.240511503539551	9	0.276669607131864	0.00645107427154577	-5.60497400437612	0.288216566635888	0.265224876885195	0.247909475809407	0.0065334587508112	-1.1323209577067	0.260359918436442	0.237695252385349	54.5154044276356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.5754668260081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	0.193548387096774	1	0	0.193548387096774	1	0
