"ID"	"Interaction"	"References"	"Binary_file"	"Weighted_file"	"WB_inconsistencies"	"rows"	"cols"	"connectance"	"nint"	"Wint"	"net_non_integer"
"39"	"TP-108"	"paras"	"Allred 1968"	"Idaho.FOR.txt"	"krasnov/Idaho.txt"	""	29	14	0.155172413793103	63	10839	FALSE
"40"	"TP-109"	"paras"	"Syrvacheva 1964"	"Kabarda.FOR.txt"	"krasnov/Kabarda.txt"	""	21	13	0.293040293040293	80	1804	FALSE
"41"	"TP-110"	"paras"	"Koshkin 1966"	"Khabarovsk.FOR.txt"	"krasnov/Khabarovsk.txt"	""	22	9	0.303030303030303	60	5242	FALSE
"42"	"TP-111"	"paras"	"Leonov 1958"	"Khasan.FOR.txt"	"krasnov/Khasan.txt"	""	12	8	0.40625	39	6183	FALSE
"43"	"TP-112"	"paras"	"Reshetnikova 1959"	"Kustanai.FOR.txt"	"krasnov/Kustanai.txt"	""	19	17	0.232198142414861	75	986	FALSE
"44"	"TP-113"	"paras"	"Arai 1983"	"McGregor_River.FOR.txt"	"iwdb/mcgregor_river.txt"	""	51	14	0.159663865546218	114	1360.7	TRUE
"45"	"TP-114"	"paras"	"Vasiliev 1966"	"MongoliaCKhangay.FOR.txt"	"krasnov/MongoliaCKhangay.txt"	" C connec"	21	10	0.219047619047619	46	18666	FALSE
"46"	"TP-115"	"paras"	"Labunets 1967"	"MongoliaNorthWestKhangay.FOR.txt"	"krasnov/MongoliaNorthWestKhangay.txt"	""	44	21	0.1504329004329	139	12212	FALSE
"47"	"TP-116"	"paras"	"Popova 1968"	"Moyynkum.FOR.txt"	"krasnov/Moyynkum.txt"	""	31	18	0.200716845878136	112	260795	FALSE
"48"	"TP-117"	"paras"	"Krasnov 1997"	"Negev.FOR.txt"	"krasnov/Negev.txt"	" R connec"	13	13	0.218934911242604	37	4884	FALSE
"49"	"TP-118"	"paras"	"Morlan 1955"	"NewMexico.FOR.txt"	"krasnov/NewMexico.txt"	""	34	29	0.108519269776876	107	23985	FALSE
"50"	"TP-119"	"paras"	"Yudin 1976"	"NorthFarEast.FOR.txt"	"krasnov/NorthFarEast.txt"	""	16	15	0.225	54	1407	FALSE
"51"	"TP-120"	"paras"	"Shwartz 1958"	"NorthKyrgyzstan.FOR.txt"	"krasnov/NorthKyrgyzstan.txt"	""	35	16	0.146428571428571	82	8867	FALSE
"52"	"TP-121"	"paras"	"Violovich 1969"	"Novosibirsk.FOR.txt"	"krasnov/Novosibirsk.txt"	""	34	27	0.194989106753813	179	4553	FALSE
"53"	"TP-122"	"paras"	"Sineltschikov 1956"	"Parsnip_River.FOR.txt"	"iwdb/parsnip_river.txt"	""	53	17	0.175360710321865	158	2010.6	TRUE
"54"	"TP-123"	"paras"	"Vasiliev 1966"	"Pavlodar.FOR.txt"	"krasnov/Pavlodar.txt"	""	14	16	0.169642857142857	38	396	FALSE
"55"	"TP-124"	"paras"	"Bangham 1955"	"SBay_Lake_Huron.FOR.txt"	"iwdb/sbay_lake_huron.txt"	""	97	33	0.098719150265542	316	8062	TRUE
"56"	"TP-125"	"paras"	"Pauller 1966"	"Selenga.FOR.txt"	"krasnov/Selenga.txt"	" C connec"	13	10	0.261538461538462	34	1051	FALSE
"57"	"TP-126"	"paras"	"Stanko 2002"	"Slovakia.FOR.txt"	"krasnov/Slovakia.txt"	" C connec"	22	19	0.229665071770335	96	10979	FALSE
"58"	"TP-127"	"paras"	"Chinniah 1978"	"Smallwood_Reservoir.FOR.txt"	"iwdb/smallwood_reservoir.txt"	""	25	6	0.353333333333333	53	1293	FALSE
"59"	"TP-128"	"paras"	"Kunitsky 1962"	"SouthWesternAzerbajan.FOR.txt"	"krasnov/SouthWesternAzerbajan.txt"	""	23	13	0.204013377926421	61	5624	FALSE
"60"	"TP-129"	"paras"	"Mikulin 1958"	"Tarbagatai.FOR.txt"	"krasnov/Tarbagatai.txt"	""	35	23	0.108074534161491	87	1616	FALSE
"61"	"TP-130"	"paras"	"Zagniborodova 1960"	"Turkmenistan.FOR.txt"	"krasnov/Turkmenistan.txt"	""	42	18	0.28968253968254	219	909444	FALSE
"62"	"TP-131"	"paras"	"Letov 1966"	"Tuva.FOR.txt"	"krasnov/Tuva.txt"	""	28	13	0.326923076923077	119	28760	FALSE
"63"	"TP-132"	"paras"	"Kozlovskaya 1958"	"Ussury.FOR.txt"	"krasnov/Ussury.txt"	""	21	9	0.35978835978836	68	1890	FALSE
"64"	"TP-133"	"paras"	"Nazarova 1981"	"Volga_Kama.FOR.txt"	"krasnov/Volga_Kama.txt"	""	35	29	0.239408866995074	243	33913	FALSE
"65"	"TP-134"	"paras"	"Emelyanova 1967"	"WesternSayan.FOR.txt"	"krasnov/WesternSayan.txt"	""	29	15	0.319540229885057	139	4740	FALSE
"66"	"TP-135"	"pollin"	"Motten 1986"	"poll18.TF.txt"	"wol/M_PL_025.csv"	""	44	13	0.25	143	2225	FALSE
"67"	"TP-138"	"pollin"	"Small 1976"	"poll23.TF.txt"	"wol/M_PL_033.csv"	""	34	13	0.319004524886878	141	992	FALSE
"68"	"TP-139"	"pollin"	"Ollerton 2003"	"poll26.TF.txt"	"wol/M_PL_013.csv"	""	56	9	0.204365079365079	103	594	FALSE
