"topology"	"rows"	"cols"	"nint"	"Wint"	"WB_inconsistencies"	"net_non_interger"	"connectance"	"interaction_type"	"WNODA"	"equi_null_mean"	"equi_null_sd"	"equi_z"	"prop_null_mean"	"prop_null_sd"	"prop_z"	"equi_ci_up"	"equi_ci_down"	"prop_ci_up"	"prop_ci_down"	"prop_ci_up2"	"prop_ci_down2"	"modularity"	"nmod"	"equi_null_mean"	"equi_null_sd"	"equi_z"	"equi_null_ci_up"	"equi_null_ci_down"	"prop_null_mean"	"prop_null_sd"	"prop_z"	"prop_null_ci_up"	"prop_null_ci_down"	"WNODA_SM"	"equi_null_SM_mean"	"equi_null_SM_sd"	"equi_SM_z"	"equi_SM_ci_up"	"equi_SM_ci_down"	"prop_null_SM_mean"	"prop_null_SM_sd"	"prop_SM_z"	"prop_SM_ci_up"	"prop_SM_ci_down"	"WNODA_DM"	"equi_null_DM_mean"	"equi_null_DM_sd"	"equi_DM_z"	"equi_DM_ci_up"	"equi_DM_ci_down"	"prop_null_DM_mean"	"prop_null_DM_sd"	"prop_DM_z"	"prop_DM_ci_up"	"prop_DM_ci_down"	"prop_SM_ci_up2"	"prop_SM_ci_down2"	"prop_DM_ci_up2"	"prop_DM_ci_down2"	"wnoda_equi_sig"	"wmod_equi_sig"	"wnoda_equi_SM_sig"	"wnoda_equi_DM_sig"	"wnoda_prop_equal"	"wmod_prop_sig"	"wnoda_prop_SM_equal"	"wnoda_prop_DM_equal"
"TP-025"	"compound"	883	114	1920	4562	" R C"	FALSE	0.0190737318948561	"pollin"	3.67358862877527	0.132666324924968	0.0119473310503013	296.377683764024	5.77138657080734	0.163088628273273	-12.8629320403442	0.15624457051165	0.111980300790459	6.09360093681714	5.48362984983273	6.20418727967237	5.52125555219521	0.488589958679312	64	0.226070893184898	0.00335017914454231	78.3597097850951	0.232004131877983	0.219874365769799	0.184139363829833	0.00336522572680023	90.4695909177425	0.19018836581708	0.177123324583828	38.9337420665741	16.8903746337927	1.32611604871357	16.6225025737115	19.1082013215942	14.576709325652	29.4729936297098	2.0605508887796	4.5913684968332	32.9865217360951	26.1548328269694	2.42898677183728	1.6431438307618	0.326469767252458	2.4070925393462	2.08300732905456	1.18086456841671	3.2333456061485	0.102048407184624	-7.88213022135655	3.42004160343819	3.07600332230689	33.8421705838148	26.4647561576606	3.58468216158458	3.09070236304035	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
"TP-026"	"compound"	85	40	264	1314	" R C"	FALSE	0.0776470588235294	"pollin"	10.0377680187662	5.81241823919753	0.333888504282295	12.6549723197305	27.8384395578486	1.68363466548772	-10.5727637378658	6.35895688548104	5.16152970413189	30.8616374268456	25.0684106609266	31.0933199299502	25.3890876920073	0.584214257417485	12	0.193439896988614	0.00422314261092926	92.5316515283117	0.203173759234934	0.186836411065472	0.133162510015578	0.00657495856212561	68.6014585704227	0.143478613410433	0.119680110460119	31.8976840457287	20.4341729773974	2.33272887887119	4.91420634955167	24.4388959415328	16.6755785381877	35.4680876716266	3.13952702343777	-1.13724252068654	41.0894678997764	30.240604512057	6.95914884581082	10.6220815320952	2.17910241751026	-1.68093645202299	13.4365491715849	6.27236991117435	10.5069722486379	0.875047791250523	-4.05443387012828	11.9903122230239	8.63602657284161	45.9662690580334	30.7793208853327	12.2965420980397	9.01732788761393	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-027"	"compound"	318	113	773	2101	" R"	FALSE	0.0215116602660433	"pollin"	4.52866791517731	0.206770923143115	0.0262205511438203	164.828609754558	10.2927695343564	0.68404081808591	-8.42654629194246	0.261037815234348	0.160132153970358	11.4485244095066	8.99292063123385	13.0495507277376	9.19771119214274	0.596157719143274	36	0.289354437557108	0.00367359177835349	83.5158885627941	0.29686958070101	0.282708376895385	0.210665799077196	0.0046807262423904	82.3572881863758	0.219780612618225	0.202755878130599	33.199843978584	14.3032710529873	0.941555034803895	20.069536274672	15.953879775193	12.6083792890293	33.4358327215437	2.70361001912935	-0.0872865321884178	39.0320967744297	28.9164939486166	2.50221650617384	1.95240605245628	0.328780220799928	1.67227350957991	2.4637999580572	1.47544741995793	4.22958795959674	0.249961468067235	-6.91055092122547	4.71181099433508	3.80074695056111	40.417463071678	29.4596445880067	4.81046692365146	3.8143155201531	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
"TP-028"	"compound"	195	64	431	934	" R connec"	FALSE	0.0345352564102564	"pollin"	4.41353737107461	0.356303718397618	0.0585881058643629	69.25012496683	7.4302792592849	0.638537823702429	-4.7244529238978	0.469544856881217	0.253665771522832	8.67616443014605	6.23980380159451	9.15563118732944	6.41656724606611	0.588491395714598	19	0.337308796386971	0.00493604777601321	50.8873922469414	0.346877880131505	0.328568382632778	0.270588940426026	0.00781020207428975	40.7034865762397	0.285108831715493	0.254566942853606	28.6413418772031	14.1734734838883	1.29912974603469	11.1365846540538	16.362037161202	11.7995995327967	26.8229249739286	2.56793763034457	0.708123469116514	31.2835103085109	22.3148594464669	2.46781020660825	2.3466341985648	0.64054095659149	0.189177611199549	3.19446894594884	1.11379316118826	3.90087289854055	0.516571372847254	-2.7741813953675	4.7215517606201	2.82077700586617	32.8259610195586	22.5995124031239	4.97665801714902	2.90667505431839	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-029"	"compound"	678	89	1202	2384	" R C"	FALSE	0.0199197905273276	"pollin"	4.3272675599545	0.107456610007347	0.0181094412974398	233.017180410956	6.59891379512573	0.391640528965638	-5.80033491725405	0.147188871655669	0.0759652068619783	7.4918874840511	5.79011929053632	7.78686288136717	6.05574957879639	0.611199769999101	46	0.299402709163144	0.00371174838499981	84.002747087064	0.306397656637089	0.291403997849196	0.251105194411555	0.00527423050857652	68.27433404778	0.261228203402999	0.241390097855952	38.6689446455357	24.255668270941	1.37196763974088	10.5055512660028	26.5439570261693	21.5403024970323	44.354161931601	3.02383632156422	-1.88013393632507	50.3037519563086	39.0490104178123	1.73140611760316	1.24595046649658	0.277584720580521	1.74885580910697	1.6564627423543	0.826555646127296	2.33273961547284	0.124284390989812	-4.83836701520281	2.59878856923572	2.13227709475345	50.857919504197	39.8980861234088	2.6597467133782	2.14612008593025	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
"TP-030"	"compound"	365	91	871	2129	" R C"	FALSE	0.0262230919765166	"pollin"	3.3158428110291	0.254751970552278	0.0325005259986721	94.1858861177167	7.40543296533049	0.377849670994139	-10.8233259633163	0.313688898483019	0.199535759091049	8.18306509060842	6.72428019944538	8.46955913415093	6.83035322712046	0.570518821146432	27	0.285018647963473	0.00369358496077285	77.2962247288392	0.293241798765885	0.27887511938404	0.213985940562918	0.00442116349572025	80.6423198166371	0.2221706064963	0.20574852497694	21.369118795527	12.2502860858122	0.802535302394551	11.3625315702706	13.705804479689	10.5568154251337	21.8342470157286	1.57907699452509	-0.294557024017367	25.8488954733898	19.2818044957129	2.02328607544564	1.57250291720171	0.332367864332547	1.35627780726991	2.07484485106778	1.08413094524778	3.10808705607159	0.203936687587209	-5.31930273782668	3.45043906322847	2.70954508226329	27.1544793995681	19.502637035136	3.54019047632665	2.74796152652249	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-033"	"compound"	18	11	38	134	""	FALSE	0.191919191919192	"pollin"	21.1881868131868	14.2432948139952	1.7986651096085	3.86113677420652	44.3549119896805	6.25499923238336	-3.70371351231428	17.8286297036297	10.6718455155955	55.0394712227973	33.2714459376112	59.8898365316276	33.5954845740571	0.442303408331477	5	0.264300565403261	0.0203543752685836	8.74518822510647	0.307562931610604	0.234127868122076	0.195224835311714	0.0229367048459565	10.7721913273571	0.23960793049677	0.150969035419915	59.2753623188406	33.0574869115242	3.48056230227066	7.53265510869101	39.102165949992	27.0082598560859	52.7367595628804	6.95084877778456	0.940691268792671	68.0316205533597	40.8757763975155	10.3733098177543	16.4251144537741	2.77801244360672	-2.17846563284745	20.6970221136888	10.3141823882565	18.9675506932341	2.63993606446448	-3.25547311208207	24.9383911756793	13.8944738389183	70.1086956521739	42.0910973084886	27.6396619253762	14.2462277091907	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-038"	"compound"	12	10	30	1139	""	FALSE	0.25	"pollin"	26.8768768768769	53.7771017771018	2.13288719861273	-12.6121179393459	82.8405492691207	2.18292808402968	-25.6369748511985	58.4714714714715	50.7807807807808	86.7119262119262	77.7317122317122	87.4076674076674	78.6966056966057	0.496934837253078	5	0.0735031653692494	0.00692305264243081	61.1625671150687	0.0871634699507678	0.0619293143331527	0.0595489877840198	0.00768269699424012	56.9312898578422	0.0746795897083297	0.0470381655735165	81.1111111111111	52.7213151927438	5.44743642294672	5.21158829844778	62.4746031746032	42.3619047619048	83.3906479763623	5.05193210013905	-0.451220804251982	92.7111111111111	72.2949494949495	18.4027777777778	29.3375141723356	0.881422863255338	-12.405778032774	30.7440476190476	27.4449404761905	32.2765820764333	1.56416699955362	-8.8697717715658	34.8414351851852	28.6128472222222	94	75.4761904761905	35.6274801587302	29.4260912698413	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-045"	"compound"	32	7	59	299	" R connec"	FALSE	0.263392857142857	"pollin"	44.1428280566019	30.6318900099813	1.98500608502372	6.80649704227938	55.2616768018783	4.75506706488879	-2.33831586254115	34.1637540916491	26.5703266794596	63.1232815611263	45.5982919965543	67.3088222949719	47.8065858105029	0.319940492835651	4	0.198730599050506	0.0154749907510924	7.8326310971519	0.227348687374862	0.171465643561034	0.123873121691938	0.0144770362339608	13.5433363552528	0.149955817049026	0.097835594680149	64.2021276595745	35.4687942275174	3.56629666027965	8.05691061881654	44.6029198941072	29.4906314344544	57.3728956143904	5.12875260118613	1.33155809535533	67.691140776699	47.503463759524	32.6803711406175	47.8417865276806	3.03390869524691	-4.9973209183308	52.762409496021	40.6949090338636	41.2374194165334	3.09306412752424	-2.76652792283525	47.9902846845048	35.4383623747306	70.2989224887035	48.9803764730976	49.0303764032578	35.8517199572814	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-046"	"compound"	21	7	50	655	""	FALSE	0.340136054421769	"disp"	34.7588126159555	51.4042634243135	2.38266188474559	-6.98607339754186	65.6856860748251	3.91544112377338	-7.89869454838457	55.5066996495568	46.1480107194393	72.9444298171103	59.1871162013342	77.9243899451153	60.0696977055074	0.376330050696346	3	0.109352513034816	0.00877666505969742	30.4190185959694	0.124282734106404	0.0943889050754618	0.075000468948141	0.0101388696676565	29.7202342692559	0.0939120097896393	0.0578190082163044	62.3133848133848	43.3943663756247	4.12125368600115	4.59059788093687	51.8417073088126	36.2124809291992	62.8847803642265	5.33874225909514	-0.107028120690464	73.6651233226096	53.9186219186219	21.7713072490143	49.6039448716192	7.30505617201446	-3.81005114364915	57.3112335447086	32.4515060311239	38.0497934393311	3.88320621735047	-4.19202207639224	43.8325612816059	30.941623839713	76.3581669226831	54.9470553294083	44.4521764970977	31.7982293714778	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
