ID	Interaction	Reference	File
TP-138	pollin	Small 1976	poll23.TF.txt
TP-139	pollin	Ollerton 2003	poll26.TF.txt
TP-140	pollin	Smith-Ramirez 2005	poll34.TF.txt
TP-141	herbiv	Basset 1996	pred1.TF.txt
TP-142	herbiv	Dawah 1995	pred2.TF.txt
TP-143	herbiv	Dyer 2002	pred3.TF.txt
TP-144	herbiv	Henneman 2001	pred4.TF.txt
TP-145	herbiv	Henneman 2001	pred5.TF.txt
TP-146	herbiv	Janzen 1980	pred6.TF.txt
TP-147	herbiv	Janzen 2005	pred7.TF.txt
TP-148	herbiv	Joern 1979	pred8.TF.txt
TP-149	herbiv	Joern 1979	pred9.TF.txt
TP-150	herbiv	Lewis 2002	pred10.TF.txt
TP-151	herbiv	Loye 1992	pred11.TF.txt
TP-152	herbiv	Memmott 1994	pred12.TF.txt
TP-153	herbiv	Muller 1999	pred13.TF.txt
TP-154	herbiv	Nakagawa 2003	pred14.TF.txt
TP-155	herbiv	Nakagawa 2003	pred15.TF.txt
TP-156	herbiv	Novotny 2005	pred16.TF.txt
TP-157	herbiv	Prado 2004	pred17.TF.txt
TP-158	herbiv	Tavakilian 1997	pred18.TF.txt
TP-159	herbiv	Tscharntke 2001	pred19.TF.txt
TP-160	herbiv	Ueckert 1971	pred20.TF.txt
TP-161	herbiv	Bluthgen 2006	pred21.TF.txt
TP-162	herbiv	Coley 2006	pred22.TF.txt
TP-163	herbiv	Cuevas-Reyes 2007	pred23.TF.txt
