127,153,74,17,80,35,23,52,17,11,40,20,12,5
72,17,31,0,5,18,18,3,26,0,3,0,4,0
39,1,11,29,34,1,3,13,2,27,12,11,3,0
48,0,17,7,12,11,3,1,8,3,2,5,8,0
13,5,1,0,2,49,0,4,33,0,0,0,1,0
13,0,0,0,13,14,0,16,1,11,9,0,0,0
6,2,13,5,4,12,9,4,9,0,0,0,0,1
2,0,10,29,6,0,3,2,0,3,0,0,1,0
0,0,0,38,0,0,7,0,0,0,0,0,0,0
0,14,0,0,0,0,29,0,0,0,0,0,0,0
2,27,0,3,0,0,9,0,0,0,0,0,0,0
0,0,2,32,0,1,0,0,0,0,0,0,6,0
14,0,3,0,5,0,1,4,0,1,4,0,1,0
0,18,7,0,0,0,1,0,2,0,0,0,1,0
1,0,0,0,2,0,0,12,0,1,2,3,8,0
5,0,3,0,0,5,4,0,5,0,0,0,5,0
0,0,0,19,0,0,3,0,0,0,0,0,0,4
0,5,8,0,0,3,1,7,1,0,0,0,0,0
7,2,0,0,0,1,4,2,1,0,1,4,2,1
15,0,4,3,0,0,2,0,0,0,0,0,0,0
3,1,20,0,0,0,0,0,0,0,0,0,0,0
1,0,15,1,3,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,2,0,14,0,1,0,0
0,0,0,9,0,0,0,0,10,0,0,0,0,0
0,5,0,1,0,2,4,0,6,0,0,0,0,0
3,1,5,0,1,2,0,2,1,0,0,0,0,0
4,3,2,3,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,1,3,0,0,5,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,4,0,0,4,0,0,0,0,0,0,0
0,2,1,0,0,2,0,1,2,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,8,1,0
1,2,0,0,0,0,0,2,0,4,0,0,0,0
0,5,0,0,0,1,1,0,0,0,0,0,0,0
0,0,3,0,0,3,0,0,1,0,0,0,0,0
0,4,3,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,5,0,0,0,0,0
0,0,3,0,0,0,0,0,0,2,1,0,0,0
1,2,0,0,0,0,2,0,0,0,0,0,0,0
0,2,0,0,0,0,3,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,3,0,0,0,0,0,0,0
0,2,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,1,0,0,2,0,0,0,0,1,0
0,2,0,0,0,0,1,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1,0,0,0
